STT,Job_Name,Company_Name,Address,Salary,Nature_Work,Level,Describe,Requirement,Benefits,Deadline,Type_Job
157,TUYỂN DỤNG NHÂN VIÊN HỖ TRỢ KỸ THUẬT HỒ CHÍ MINH,Huy Hoàng Mobile,['Hồ Chí Minh'],"[7000, 10000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n- Cài đặt hệ điều hành, hỗ trợ người dùng về các vấn đề kỹ thuật IT', '- Quản trị hệ thống mạng máy tính nội bộ (LAN) của công ty;', '- Quản trị hệ thống phần mềm chấm công, camera của công ty;', '- Thực hiện nhiệm vụ bảo trì chung, chuẩn đoán sự cố, thay thế, sửa chữa, bảo trì máy tính          ']","['\n            ', '\n            - Ít nhất 1 năm kinh nghiệm tại vị trí tương đương', '- Tốt nghiệp trung cấp, cao đẳng chuyên ngành liên quan', '- Làm việc fulltime: giờ hành chính', '- Chi tiết trao đổi trong buổi phỏng vấn          ']","['\n            ', '\n            - Được đào tạo trong mội trường chuyên nghiệp.', '- Mức lương thỏa thuận theo năng lực và vị trí công việc.', '- Thưởng quý, thưởng năm', '- Xét tăng lương định kỳ', '- Chế độ du lịch 1 năm 1 lần,Teambuilding', '- Chế độ BHXH, BHYT, BHTN theo quy định của Pháp luật.          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['IT Phần cứng - mạng', 'IT phần mềm']"
158,Chuyên viên trực vận hành,Công Ty Cổ Phần Quant Edge,['Hà Nội'],"[7000, 10000]",Toàn thời gian cố định,Mới Tốt Nghiệp,"['\n            ', '\n            ', '\n', '\n- Trực vận hành, test đặt lệnh giao dịch và check lỗi phần mềm.', '- Phối hợp cùng team để kiểm soát trạng thái giao dịch liên quan đến phần mềm của Công ty.', '- Phối hợp cùng team dự án để phát hiện, xử lý, đưa ra ý tưởng tối ưu hệ thống.          ']","['\n            ', '\n            - Không yêu cầu kinh nghiệm chuyên môn.', '- Có thể làm việc theo ca.', '- Cẩn thận, tỉ mỉ, nhiệt tình và sáng tạo trong công việc.', '- Hòa đồng, tình thần học hỏi cao.', '- Tiếng anh có thể đọc hiểu cơ bản.', '- Ứng viên có hiểu biết về IT, Tester, QA, QC, BA là lợi thế.          ']","['\n            ', '\n            - Mức lương: 7-8tr/tháng', '- Môi trường làm việc chuyên nghiệp, thoải mái, linh hoạt.', '- Review tăng lương 2 lần/năm.', '- Đào tạo kỹ năng chuyên môn, kỹ năng mềm phục vụ công việc.', '- Thưởng lễ, tết, du lịch... theo quy định Công ty.', '- Đồ ăn và đồ uống miễn phí trong văn phòng.', '- Chăm sóc sức khỏe miễn phí với gói bảo hiểm cao cấp của Bảo Việt.', '- Nghỉ phép hàng năm: 12-20 ngày', '- Câu lạc bộ: Bóng đá, Cầu lông, bơi lội,.......          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['IT phần mềm', 'IT Phần cứng - mạng']"
159,KỸ SƯ LẬP TRÌNH PHẦN MỀM,Công Ty Zema Việt Nam,['Hồ Chí Minh'],"[10000, 15000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n-\tPhát triển phần mềm quản lý cho khách hàng trong lĩnh vực y tế, tích hợp quản lý các thiết bị IOT vào trong phần mềm.', '-\tPhối hợp với các bộ phận khác để triển khai và bảo trì phần mềm.', '-\tThực hiện các công việc khác từ TBP, cấp trên giao          ']","['\n            ', '\n            -\tKỹ năng nghiên cứu, phân tích chuyên sâu.', '-\tBiết dùng GIT/SVN, công cụ lập trình Visual Studio và các phần mềm Microsoft Office.', '-\tSử dụng các ngôn ngữ C#.Net, JavaScript, CSS/HTML, SQL, …', '-\tƯu tiên đã tương tác với các framework phổ thông: ASP.Net, Entity Framework, JQuery, BootStrap, ...', '-\tCó kiến thức về phân tích thiết kế hệ thống, quản trị cơ sở dữ liệu, UI-UX, SEO, …', '-\tĐã từng làm việc với các hệ thống quản lý bán hàng, chăm sóc khách hàng, kế toán, …; các phần mềm quản lí doanh nghiệp, quản lí bệnh viện là một lợi thế.', '-\tĐọc hiểu các tài liệu nghiên cứu, chuyên môn bằng tiếng Anh.          ']","['\n            ', '\n            -\tĐiều chỉnh lương định kì hàng năm.', '-\tThưởng tháng 13, thưởng khác theo quy chế công ty, …', '-\tThưởng Lễ/ Tết, sinh nhật, hiếu/ hỷ, …', '-\tBHXH sau thời gian thử việc; Khám sức khỏe định kỳ.', '-\tNghỉ trưa 1,5h.', '-\tHỗ trợ cơm trưa (30k/ phần).', '-\tNhà ở nhân viên miễn phí.', '-\tĐược tham gia vào các khóa đào tạo chuyên sâu để nâng cao chuyên môn, kiến thức, kỹ năng.', '-\tCơ hội thăng tiến nghề nghiệp, phát triển bản thân.', '-\tCơ hội trải nghiệm dịch vụ làm đẹp miễn phí hoặc theo giá nhân viên.', '-\tĐược rèn luyện sức khỏe miễn phí (hồ bơi, phòng tập Gym, Yoga, Dance, chạy bộ, …) tại công ty.', '-\tTeambuilding, party. Du lịch hàng năm.          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,['IT phần mềm']
160,IT Application Management,Công Ty Cổ Phần Bảo Hiểm Aaa,['Hồ Chí Minh'],['Thỏa thuận'],Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\nQuản trị ứng dụng', '- Quản trị và vận hành hằng ngày các ứng dụng của công ty theo đúng qui trình và tiêu chuẩn quản lý ứng dụng của công ty được ban hành (sẽ trao đổi khi phỏng vấn).', '- Hỗ trợ trực tiếp người dùng: hỗ trợ sử dụng, sửa lỗi, xuất báo cáo …', '- Theo dõi và quan sát hoạt động hệ thống nhằm đảm bảo tính an toàn, sẵn sàng và bảo mật.', '- Thực hiện việc bảo trì bảo dưỡng định kỳ, cập nhật các bản vá lỗi, bản nâng cấp …', '- Phân tích yêu cầu thay đổi từ người dùng, làm việc với các nhóm nội bộ và đối tác liên quan để thực thi thay đổi.', '- Và các công việc khác liên quan.', 'Dự án Công nghệ thông tin', '- Làm việc với các phòng ban liên quan, để thu thập yêu cầu nghiệp vụ, thực hiện phân tích và tài liệu hóa các nội dung liên quan.', '- Phối hợp với nhóm kỹ thuật, nhóm Dự án trong việc kiểm tra và kiểm thử ứng dụng.', '- Tham gia vào công tác huấn luyện, đào tạo và chuyển giao phần mềm/ứng dụng.          ']","['\n            ', '\n            -          Tốt nghiệp Đại học chuyên ngành Khoa học máy tính/Công nghệ thông tin.', '-          1 đến 2 năm kinh nghiệm trong cùng lĩnh vực.', '-          Sử dụng được công cụ PL/SQL, các tool liên quan đến Oracle.', '-          Có kinh nghiệm phân tích, lấy yêu cầu phục vụ cho các dự án CNTT.', '-          Biết thêm SQL Server là lợi thế.', '-          Có thể sưu liệu (documentation) cho các dự án: change request, to-do list, ... (Sử dụng được một số tool như Mindmap, Visio - không bắt buộc)', '-          Biết lập trình ASP.NET hoặc JavaScript là một lợi thế          ']","['\n            ', '\n            Môi trường làm việc năng động, thân thiện và có cơ hội thăng tiến lên các vị trí quản lý cao hơn', 'Tham quan, Du Lịch trong và ngoài nước hàng năm', 'Chế độ thưởng, tăng lương hàng năm', 'Bảo hiểm chăm sóc sức khỏe cá nhân', 'Cơ hội phát triển: tham gia các khóa đào tạo nâng cao nghiệp vụ chuyên môn, hội nghị, hội thảo.', 'Công tác phí và các phụ cấp khác để hỗ trợ công việc', 'Chế độ bảo hiểm xã hội (BHXH, BHYT, BHTN...) theo luật Lao động          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['Bảo hiểm', 'IT phần mềm']"
161,Nhân viên Công nghệ thông tin,Quỹ Hỗ Trợ Phụ Nữ Phát Triển Kinh Tế Tỉnh Tiền Giang,['Tiền Giang'],['Thỏa thuận'],Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n-\tQuản lý hệ thống mạng, máy tính, hỗ trợ người dùng xử lý sự cố hệ thống.', '-\tQuản trị phần mềm quản lý.', '-\tNắm bắt thông tin về sự phát triển công nghệ trong lĩnh vực.', '-\tTheo dõi, kiểm tra, sửa chữa các hỏng hóc thông thường của các trang thiết bị, máy móc.', '-\tThực hiện quy trình cập nhật số liệu vào hệ thống thông tin quản lý...', '-\tHỗ trợ công việc tín dụng tại Chi nhánh.', '-\tThực hiện các công việc khác theo yêu cầu.          ']","['\n            ', '\n            -\tNam. –  Sức khỏe: tốt', '-\tTốt nghiệp: Từ Cao đẳng trở lên chuyên ngành Công nghệ thông tin.', '-\tÍt nhất 1 năm kinh nghiệm làm việc ở tổ chức khác về: quản trị CSDL bằng MS SQL, phân tích, xử lý phần mềm quản lý.', '-\tCó kiến thức cơ bản về phần cứng, hệ thống Domain.', '-\tNăng động, tác phong chuyên nghiệp, chịu áp lực cao trong công việc. ', '-\tKỹ năng giao tiếp tốt.', '-\tKỹ năng xử lý tình huống và giải quyết công việc.', '-\tKỹ năng phối hợp và làm việc theo nhóm.          ']","['\n            ', '\n            Được đào tạo nghiệp vụ Tài chính - Kế toán và hưởng đầy đủ các chế độ BHXH, BHYT, BHTN và các chế độ khen thưởng theo năng lực và quy định của Quỹ MOM. Được tham gia các khóa tập huấn nâng cao năng lực từ các nhà tài trợ nước ngoài,...          ', '\n              ', '\n              -       Đơn xin việc.\t\t\t\t', '-\tSơ yếu lý lịch.', '-\tBản sao các văn bằng chứng chỉ.', '-\tBản sao giấy chứng minh nhân dân.', '-\tBản sao hộ khẩu gia đình.\t\t', '-\tGiấy khám sức khoẻ.            ']",,['IT Phần cứng - mạng']
162,Software Developer,Công Ty Cổ Phần Bảo Hiểm Aaa,['Hồ Chí Minh'],['Thỏa thuận'],Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n· Maintain, develop, monitor and support web application using for business.', '· Coordinate with relevant departments, project members and vendors to lead system development project', '· Handle system troubles and ensure the effective preventive maintenance and investigation of system resources', '· Provide technical support to other departments in the bank to process their daily activities.', '. Timely report to direct manager about problem and request from users          ']","['\n            ', '\n            ·         University qualification (BA) in Computer Science or related degree.', '·         Just have graduate or few month experience in software development', '·         Knowdled about JavaScript, C#, ASP.NET, SQL Server.          ']","['\n            ', '\n            Môi trường làm việc năng động, thân thiện và có cơ hội thăng tiến lên các vị trí quản lý cao hơn', 'Tham quan, Du Lịch trong và ngoài nước hàng năm', 'Chế độ thưởng, tăng lương hàng năm', 'Bảo hiểm chăm sóc sức khỏe cá nhân', 'Cơ hội phát triển: tham gia các khóa đào tạo nâng cao nghiệp vụ chuyên môn, hội nghị, hội thảo.', 'Công tác phí và các phụ cấp khác để hỗ trợ công việc', 'Chế độ bảo hiểm xã hội (BHXH, BHYT, BHTN...) theo luật Lao động          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['Bảo hiểm', 'IT phần mềm']"
163,Back-end Engineer,Công Ty TNHH Delichill Việt Nam,['Hồ Chí Minh'],"[20000, 30000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n•\tParticipate in the entire application lifecycle, focusing on coding and debugging', '•\tWrite clean code to develop functional web applications', '•\tTroubleshoot and debug applications', '•\tPerform UI tests to optimize performance', '•\tManage cutting-edge technologies to improve legacy applications', '•\tCollaborate with Front-end developers to integrate user-facing elements with server side logic', '•\tGather and address technical and design requirements', '•\tProvide training and support to internal teams', '•\tBuild reusable code and libraries for future use', '•\tLiaise with developers, designers and system administrators to identify new features', '•\tFollow emerging technologies          ']","['\n            ', '\n            •\tProven work experience as a Back-end developer', '•\tIn-depth understanding of the entire web development process (design, development and)', '•\tHands on experience with programming languages like Java, Ruby, PHP and Python', '•\tWorking knowledge of CMS framework', '•\tFamiliarity with front-end languages (e.g. HTML, JavaScript and CSS)', '•\tExcellent analytical and time management skills', '•\tTeamwork skills with a problem-solving attitude', '•\tBSc degree in Computer Science or relevant field          ']","['\n            ', '\n            •\tWe are strategic: We believe the only way to predict the future is to build it. Creating solutions that will change our company and our industry is what we do -- on every project, every day. ', '•\tWe are learning: We’re not afraid to dig in and uncover the truth, even if it’s scary or inconvenient. Everyone here is continually learning on the job, no matter if we’ve been in a role for one year or one minute.', '•\tWe offer great compensation packages including attractive salary and other allowances          ']",,['IT phần mềm']
164,NHÂN VIÊN IT,Cinestar Đà Lạt,['Lâm Đồng'],['Thỏa thuận'],Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n-Thực hiện quản trị hệ thống cơ sở hạ tầng mạng như: Máy chủ, thiết bị mạng, máy trạm, khắc phục các sự cố liên quan đến máy tính, máy in, Pos, Wifi và các thiết bị liên quan.', '(Công việc sẽ trao đổi cụ thể trong quá trình phỏng vấn).          ']","['\n            ', '\n            Có kinh nghiệm quản lý hệ thống mạng, sửa chữa, khắc phục phần cứng: máy tính, máy in....', '- Thái độ: trung thực, nhanh nhẹn, cầu tiến', '- Có tư duy logic khả năng xử lý tình huống, dịch vụ khách hàng tốt, cẩn thận, trách nhiệm cao trong công việc', '- Có khả năng làm việc độc lập, làm việc nhóm.          ']","['\n            ', '\n            Lương thỏa thuận + phụ cấp tiền ăn , Lương T13', '- Tuần nghỉ 01 ngày, tháng 04 ngày + phép năm', '- Được hưởng các chế độ theo đúng quy đinh của pháp luật hiện hành: BHXH, BHYT, BHTN…', '- Các chế độ đãi ngộ của Công ty : sinh nhật, hiếu hỉ, ốm đau…', '- Vé xem film, tập Gym miễn phí hàng tháng ', '- Ngoài giờ làm việc được mua vé và combo bắp nước, chơi Bowling với giá ưu đãi.', '- Trong ca làm việc ăn tại Nhà hàng với giá nhân viên          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,['IT Phần cứng - mạng']
165,Lập trình viên,Công Ty Cổ Phần Công Nghệ & Giải Pháp Bình Minh,['Hà Nội'],"[10000, 15000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\nTham gia lập trình cùng đội ngũ cộng sự về phần mềm Quản lý Nhân sự Chấm công – Tính lương', 'Tham gia tư vấn và thống nhất nghiệp vụ với chuyên viên phân tích nghiệp vụ;', 'Phân tích và thiết kế hệ thống như yêu cầu.', 'Triển khai phần mềm tại phía khách hàng', 'Báo cáo trực tiếp với Ban lãnh đạo và trưởng bộ phận.          ']","['\n            ', '\n            Nam/Nữ, tuổi từ 22 – 28, tốt nghiệp Đại học chuyên ngành CNTT hoặc Toán Tin', 'Có ít nhất 1 năm kinh nghiệm làm việc với nền tảng Front-End', 'Thành thạo về Javascript, Bootstrap, Angular 9, HTML, CSS', 'Nắm chắc kiến thức lập trình hướng đối tượng (OOP), mô hình MVC, thiết kế cấu trúc', 'Thành thạo các công cụ quản lý mã nguồn Git, các công cụ quản lý dự án          ']","['\n            ', '\n            Mức lương hấp dẫn, xét tăng lương định kỳ 2 đến 4 lần / năm. Đối với các cá nhân xuất sắc hoặc có thâm niên công tác, mức lương sẽ được thỏa thuận tương xứng với năng lực và kinh nghiệm.', '- Thu nhập mở rộng:', '+ Có thưởng theo tiến độ triển khai công việc', '+ Có phụ cấp công việc, phụ cấp chức vụ (nếu là cấp cán bộ quản lý)', '- Môi trường làm việc năng động, thân thiện, cơ hội thăng tiến. Được đào', 'tạo thêm để nâng cao nghiệp vụ chuyên môn', '- Được ký hợp đồng lao động chính thức ngay sau thời gian thử việc nếu đạt', 'yêu cầu và hưởng các quyền lợi đúng luật lao động, hưởng các chính sách đãi ngộ xứng đáng, phù hợp với năng lực và kinh nghiệm', '- Được đào tạo tại công ty hoặc tham gia các khóa học bên ngoài', '- Cơ hội tham gia nhiều hoạt động văn hóa, thể dục thể thao, giải trí (Liên', 'hoan, nghỉ mát, văn thể mỹ…).', '- Được nghỉ 2 ngày thứ 7 trong tháng, chủ nhật và các ngày lễ theo quy định.          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,['IT phần mềm']
166,Kỹ Thuật Viên Sửa Chữa Laptop Máy Tính,Công Ty TNHH Tin Học Đại Lợi,['Hồ Chí Minh'],"[7000, 10000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n– Bảo dưỡng máy tính, máy in theo hợp đồng, sửa chữa lắp ráp bộ máy, cài đặt, kiểm tra chuẩn đoán bệnh khắc phục lỗi của thiết bị máy tính, máy in, thiết bị văn phòng.', '- Thực hiện các công việc kỹ thuật (đổ mực, bấm đầu mạng, kéo mạng lan, thay thế linh kiện, lắp thêm linh kiện….)', '– Bảo hành các thiết bị tin học tại công ty, tại nơi sử dụng của khách hàng.', '– Tư vấn, giải đáp kỹ thuật cho khách hàng qua hotline, điện thoại, qua internet (email, website…).', '–Test sản phẩm bảo hành (máy tính, laptop, máy in, phụ kiện máy tính, …) của nhà cung cấp gửi về và của khách hàng đến bảo hành; sử dụng thành thạo các phần mềm acronis, ghost,Cái nào không biết SẼ được đào tạo', '– Thực hiện các công việc kỹ thuật khác theo sự phân công của Trưởng bộ phận          ']","['\n            ', '\n            -Nam Sức khỏe tốt.', 'Kinh nghiệm: Ưu tiên có kinh nghiệm, chưa biết phần nào sẽ được đào tạo', 'Tốt nghiệp từ trung cấp trở lên chuyên ngành kỹ thuật hoặc CNTT.', 'Hiểu biết về các thiết bị IT, Điện tử, Các thiết bị tin học', 'Thái độ:', '+ Trung thực,Tích cực, thân thiện, nhiệt tình, có khả năng tự học hỏi, yêu thích công việc', '+ Có tinh thần phấn đấu, phản ứng tích cực với áp lực công việc,', '+ Có thể làm việc độc lập và kỹ năng làm việc nhóm tốt          ']","['\n            ', '\n            chức vụChức vụ:Nhân viênkinh nghiệmKinh nghiệm:Không yêu cầuhình thức làm việcHình thức làm việc:Toàn thời gian tạm thờiyêu cầu bằng cấpYêu cầu bằng cấp:Trung cấp trở lênyêu cầu giới tínhYêu cầu giới tính:Namsố lượng cần tuyểnSố lượng cần tuyển:2 ứng viênthời gian thử việcThời gian thử việc: 1 thángngành nghềNgành nghề: Điện - Điện tử IT Phần cứng - mạng IT phần mềmMô tả công việc ( Xem thêm )– Bảo dưỡng máy tính, máy in theo hợp đồng, sửa chữa lắp ráp bộ máy, cài đặt, kiểm tra chuẩn đoán bệnh khắc phục lỗi của thiết bị máy tính, máy in, thiết bị văn phòng.', '- Thực hiện các công việc kỹ thuật (đổ mực, bấm đầu mạng, kéo mạng lan, thay thế linh kiện, lắp thêm linh kiện….)', '– Bảo hành các thiết bị tin học tại công ty, tại nơi sử dụng của khách hàng.', '– Tư vấn, giải đáp kỹ thuật cho khách hàng qua hotline, điện thoại, qua internet (email, website…).', '–Test sản phẩm bảo hành (máy tính, laptop, máy in, phụ kiện máy tính, …) của nhà cung cấp gửi về và của khách hàng đến bảo hành; sử dụng thành thạo các phần mềm acronis, ghost,Cái nào không biết SẼ được đào tạo', '– Thực hiện các công việc kỹ thuật khác theo sự phân công của Trưởng bộ phận', 'Yêu cầu công việc', '-Nam Sức khỏe tốt.', 'Kinh nghiệm: Ưu tiên có kinh nghiệm, chưa biết phần nào sẽ được đào tạo', 'Tốt nghiệp từ trung cấp trở lên chuyên ngành kỹ thuật hoặc CNTT.', 'Hiểu biết về các thiết bị IT, Điện tử, Các thiết bị tin học', 'Thái độ:', '+ Trung thực,Tích cực, thân thiện, nhiệt tình, có khả năng tự học hỏi, yêu thích công việc', '+ Có tinh thần phấn đấu, phản ứng tích cực với áp lực công việc,', '+ Có thể làm việc độc lập và kỹ năng làm việc nhóm tốt', 'Quyền lợi được hưởng', '- Lương: 7-10 triệu', '- Được làm việc trong môi trường năng động, chuyên nghiệp, thân thiện, ổn định lâu dài.', '- Có nhiều cơ hội thăng tiến, phát triển bản thân theo năng lực và khả năng cống hiến.', '- Được đào tạo các kỹ năng chuyên môn, kỹ năng mềm giúp phát triển và hoàn thiện bản thân theo thời gian.', '- Làm việc trực tiếp dưới sự dẫn dắt của CEO Công ty.', '- Được đóng BHXH theo quy định của pháp luật', '- Chế độ chính sách thực hiện theo Quy định của pháp luật và theo Quy định của Công ty', 'Chế độ nghỉ Lễ, Tết, Phép năm theo quy định của Luật Lao động, Quy định công ty.          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['IT Phần cứng - mạng', 'IT phần mềm', 'Điện - Điện tử']"
167,Lập trình viên C .Net ASP.Net .NET Core,Hvcg Software,['Hà Nội'],"[20000, 30000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n- Tiếp nhận và thực hiện các yêu cầu do người quản lý phân công;', '- Tham gia phân tích, phát triển, bảo trì các hệ thống doanh nghiệp ERP, Finance, HR, CRM, CMS,...', '- Xây dựng các hệ thống api, microservice,...', '- Tham gia các buổi study and share về công nghệ.', '- ứng viên có kinh nghiệm làm Leader/PM sẽ được bổ nhiệm          ']","['\n            ', '\n            Yêu cầu chuyên môn (từ 1 năm kinh nghiệm trở lên):', '- Có kinh nghiêm về .NET hoặc .NET Core (Web MVC hoặc Web API)', '- Có thể sử dụng tốt hệ quản trị CSDL MS SQL Server', '- Nhu cầu công việc gắn bó lâu dài', '- Đam mê và mong muốn phát triển sự nghiệp', '- Làm việc siêng năng, trung thực, vui vẻ, hòa đồng', '- Có tinh thần trách nhiệm cao', '- Nhiệt huyết, xông xáo với thách thức          ']","['\n            ', '\n            - Môi trường năng động, sáng tạo và phát triển toàn diện, vượt trội cho từng thành viên', '- Luôn đem đến cho các thành viên những giá trị về vật chất cũng như tinh thần tương ứng với những nỗ lực đóng góp của từng thành viên.', '- Được đào tạo bài bản, chuyên nghiệp vể chuyên môn, nghiệp vụ, các kỹ năng mềm,… trước khi vào công việc cụ thể.', '- Chính sách phúc lợi hấp dẫn: lương, thưởng, teambuilding, khám sức khỏe định kỳ, nghỉ mát,…', '- Tinh thần làm hết sức – chơi hết mình, luôn nghiêm túc và hài hòa giữa công việc và niềm vui cuộc sống.', '- Được tham gia đầy đủ các chế độ BHXH, BHYT, BHTN theo Quy định của Luật Lao động và của Công ty, các chính sách ngày Lễ, Tết          ', '\n              ', '\n              CV            ']",,"['IT Phần cứng - mạng', 'IT phần mềm', 'Ngành nghề khác']"
168,Tuyển gấp Nhân Viên Marketing,Công Ty TNHH Ptcntm Nam Hùng,['Hà Nội'],"[7000, 10000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\nTuyển dụng nhân viên Truyền Thông Marketing', 'Quảng bá hình ảnh – thương hiệu – dịch vụ của nhà hàng', '•\tXây dựng kế hoạch nghiên cứu thị trường để biết được mức độ nhận diện thương hiệu hiện tại của nhà hàng, cũng như độ hài lòng của khách hàng về các dịch vụ mà đơn vị đang cung ứng.', '•\tTriển khai các chiến dịch quảng bá thương hiệu, chương trình khuyến mãi, quà tặng,… của nhà hàng phù hợp với mục tiêu thúc đẩy kinh doanh.', 'Xây dựng và triển khai các chiến dịch quảng cáo', '•\tNghiên cứu và nắm bắt thị hiếu khách hàng cũng như biến chuyển thị trường ngành để đưa ra ý tưởng thực hiện phù hợp.', '•\tTìm đối tác tin cậy để thực hiện chiến dịch quảng cáo chéo, các bên đều có lợi.', '•\tĐưa ra kênh truyền thông phù hợp và tiến hành truyền thông.', '•\tĐảm bảo chiến dịch phù hợp với ngân sách nhà hàng.', 'Tìm kiếm và phát triển mặt bằng mở rộng kinh doanh', '•\tTìm kiếm địa điểm, mặt bằng kinh doanh phù hợp với yêu cầu của công ty.', '•\tKhảo sát, đánh giá về tiềm năng của các mặt bằng tìm kiếm.', '•\tThương lượng, đàm luận, ký hợp đồng thuê mặt bằng với chủ nhà', '•\tTheo dõi các hợp đồng thuê, xử lý các phát sinh trong quá trình thuê mặt bằng          ']","['\n            ', '\n            o\tĐã có kinh nghiệm làm việc trong vai trò nhân viên truyền thông.', 'o\tKỹ năng viết, tạo nội dung, chỉnh sửa hình ảnh và video.', 'o\tKỹ năng giao tiếp bằng văn bản và lời nói ', 'o\tKỹ năng quản lý thời gian và tổ chức công việc.', 'o\tThành thạo Microsoft Office, hệ thống quản trị nội dung và nền tảng truyền thông xã hội (Facebook, Instagram, v.v.).', 'o      Có khả năng sáng tạo, năng động, nhanh nhẹn, nhiệt tình', 'o      Ưu tiên các bạn sinh năm 2000- 1994', '          ']","['\n            ', '\n            - Được hưởng đầy đủ các chế độ theo quy định của pháp luật và các chế độ phúc lợi theo nội quy, quy chế của Công ty (tham quan, nghỉ mát, lương thưởng, nghỉ lễ Tết,…).', '- Được hưởng đầy đủ các chế độ thăm hỏi sức khỏe cho bản thân và gia đình theo chính sách đãi ngộ của Công ty.', '- Được làm việc trong môi trường chuyên nghiệp, thân thiện, có nhiều cơ hội thăng tiến và phát triển nghề nghiệp.', '- Thu nhập: 7-15tr (lương cứng+hoa hồng+KPI)          ', '\n              ', '\n              - Đơn xin việc', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân ', '- Các bằng cấp có liên quan.            ']",,"['IT phần mềm', 'Marketing - PR', 'Truyền thông']"
